,date,year,id,link,retweet,text,author
0,10/7,2016,7.85E+17,/realDonaldTrump/status/784609194234306560,FALSE,Here is my statement.pic.twitter.com/WAZiGoQqMQ,DonaldTrump
1,10/10,2016,7.86E+17,/realDonaldTrump/status/785608815962099712,FALSE,Is this really America? Terrible!pic.twitter.com/WiwC61PIFu,DonaldTrump
2,10/8,2016,7.85E+17,/realDonaldTrump/status/784840992734064641,FALSE,"The media and establishment want me out of the race so badly -  I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",DonaldTrump
3,10/11,2016,7.86E+17,/realDonaldTrump/status/785979396620324865,FALSE,"Wow, @CNN Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary & CNN FRAUD!",DonaldTrump
4,10/10,2016,7.86E+17,/realDonaldTrump/status/785561269571026946,FALSE,"Debate polls look great - thank you!#MAGA #AmericaFirstpic.twitter.com/4peQ3Sswdz",DonaldTrump
5,10/11,2016,7.87E+17,/realDonaldTrump/status/786950598826532864,FALSE,"WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGN‰ÛªS ANTI-CATHOLIC BIGOTRY: http://bit.ly/2dcbtvkCrookedåÊ",DonaldTrump
6,10/12,2016,7.87E+17,/realDonaldTrump/status/786737820669009921,FALSE,"Thank you to our U.S. Navy for protecting our country, both in times of peace & war. Together, WE WILL MAKE AMERICA SAFE & GREAT AGAIN!pic.twitter.com/PGO6uuFXL6",DonaldTrump
7,10/12,2016,7.86E+17,/realDonaldTrump/status/786201435486781440,FALSE,Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!,DonaldTrump
8,10/11,2016,7.86E+17,/realDonaldTrump/status/786054986534969344,FALSE,Thank you Florida- a MOVEMENT that has never been seen before and will never be seen again. Lets get out & #VoteTrumpPence16 on 11/8! #MAGApic.twitter.com/e90a2AL7vO,DonaldTrump
9,10/11,2016,7.86E+17,/realDonaldTrump/status/785885793340448769,FALSE,"The very foul mouthed Sen. John McCain begged for my support during his  primary (I gave, he won), then dropped me over locker room remarks!",DonaldTrump
10,10/11,2016,7.86E+17,/realDonaldTrump/status/785854588654092290,FALSE,Disloyal R's are far more difficult than Crooked Hillary. They come at you from all sides. They don‰Ûªt know how to win - I will teach them!,DonaldTrump
11,10/11,2016,7.86E+17,/realDonaldTrump/status/785846205750337537,FALSE,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!,DonaldTrump
12,10/11,2016,7.86E+17,/realDonaldTrump/status/785842546878578688,FALSE,It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.,DonaldTrump
13,10/11,2016,7.86E+17,/realDonaldTrump/status/785828772423561216,FALSE,"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty.",DonaldTrump
